08:53:05:999 [ALWAYS]	GUDE Logging Started
08:53:06:000 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
08:53:06:000 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
08:53:06:000 [ERROR]	Initialize resume cache pointer failure
08:53:06:000 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
08:53:06:000 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
08:53:08:082 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
08:53:08:083 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
08:53:08:083 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
08:53:08:083 [ERROR]	Initialize resume cache pointer failure
08:53:08:083 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
08:53:08:083 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
